x,y,c
0.131262,0.165604,1
1.15337,0.190426,9
0.804693,0.38973,3
1.20848,-0.102714,9
1.16972,-0.155724,9
1.14285,-0.19781,12
1.05415,-0.284865,12
1.08011,-0.245857,12
0.994598,-0.323837,12
0.829504,-0.235486,12
1.02725,-0.282864,12
1.0521,-0.282096,12
0.995656,-0.316223,12
0.961505,-0.365699,12
0.933277,-0.415657,12
0.871711,-0.45634,5
0.830721,-0.4611,5
0.88113,-0.452537,5
0.876482,-0.468429,5
0.849153,-0.434301,5
0.893177,-0.446856,5
0.699319,-0.340392,5
0.742817,-0.335622,5
0.812523,-0.519976,5
0.80455,-0.532544,5
0.851168,-0.477882,5
0.677832,-0.378253,5
0.763715,-0.496301,5
0.804864,-0.532041,5
0.779184,-0.502683,5
0.84242,-0.513109,5
0.788936,-0.468286,5
0.818617,-0.514298,5
0.758976,-0.473481,5
0.759504,-0.505811,5
0.808086,-0.484305,5
0.752901,-0.51563,5
0.740524,-0.497769,5
0.797503,-0.545459,5
0.94261,-0.389343,12
0.902314,-0.41715,12
0.873793,-0.464837,5
0.844263,-0.483985,5
0.775401,-0.504385,5
0.948954,-0.385012,12
0.926867,-0.410189,12
0.917397,-0.417957,12
0.831926,-0.459549,5
0.72965,-0.37983,5
0.744711,-0.302214,5
0.657408,-0.366671,5
0.469967,-0.0578828,7
0.666627,-0.432177,5
0.632023,-0.396994,5
0.794643,-0.547818,5
0.782256,-0.565743,5
0.77392,-0.576837,5
0.780093,-0.56722,5
0.766323,-0.586074,5
0.765279,-0.58114,5
0.107899,0.0902774,1
0.794617,-0.536441,5
0.799138,-0.435822,5
0.745205,-0.561743,5
0.76187,-0.59114,5
0.728133,-0.507319,5
0.764608,-0.589401,5
0.711624,-0.532168,5
0.79017,-0.549721,5
0.785568,-0.568278,5
0.739443,-0.434458,5
0.438393,-0.221338,2
0.699497,-0.497014,5
0.730043,-0.539449,5
0.665805,-0.54677,5
0.440899,-0.055476,7
0.424227,0.00388075,7
0.596899,-0.298549,2
0.367692,-0.10862,0
0.418474,-0.160186,0
0.662298,-0.317162,5
0.416394,-0.00508985,7
0.8116,-0.554099,5
0.816278,-0.543895,5
0.836542,-0.52939,5
0.603231,-0.295987,2
0.810197,-0.536731,5
0.652844,-0.377979,5
0.312544,0.0717287,1
0.288984,0.0364164,1
1.31077,-0.0799533,9
0.410682,0.0260101,7
0.838233,-0.529713,5
0.870096,-0.504673,5
0.596426,-0.0794474,4
0.727306,-0.262938,4
0.594824,-0.217919,4
0.629371,-0.0979964,4
0.537171,-0.206506,2
0.469713,-0.0363655,7
0.721153,-0.18167,4
0.691732,0.0127246,11
0.705219,0.0723699,11
0.827667,-0.17116,12
1.12734,-0.208243,12
0.853964,0.0661202,11
1.12271,-0.206653,12
1.03598,-0.295399,12
1.02337,-0.310511,12
1.04896,-0.259484,12
0.666937,0.00449803,11
1.05925,-0.263869,12
0.688061,-0.0814666,4
0.659658,0.0575457,11
0.975458,-0.349584,12
0.783829,-0.0945288,4
0.989994,-0.350365,12
0.620988,-0.0122166,4
0.977352,-0.319428,12
1.12533,-0.132275,12
1.1011,-0.077948,9
1.05799,0.0383243,9
0.957937,0.014112,11
1.21748,-0.0897502,9
1.21731,-0.0936215,9
1.25434,-0.0477392,9
0.830142,0.190019,11
1.10664,-0.126904,12
0.999238,-0.0821101,12
1.12061,0.161287,9
0.845751,0.120771,11
0.928639,0.115559,11
0.878625,0.514697,3
0.940635,0.10336,11
0.929462,0.133686,11
0.885577,0.223569,10
0.882086,0.276425,10
0.919933,0.22065,10
0.977659,0.213318,10
1.02678,0.110275,10
1.02984,0.0774498,9
1.07791,0.32372,10
1.17545,-0.126184,9
1.06715,-0.0441966,9
0.934569,-0.335559,12
0.802468,-0.152773,4
1.10597,-0.220425,12
1.09384,-0.211356,12
0.982997,-0.344632,12
0.943417,-0.384738,12
1.01637,-0.294592,12
1.05198,-0.276746,12
1.10863,-0.198076,12
1.03546,-0.296821,12
1.12227,-0.209699,12
1.26621,-0.0242013,9
1.30546,0.0137789,9
1.19964,-0.105732,9
1.10557,-0.210479,12
